sentence,emotion,cleaned_text
My biggest fear is coming true right now apparently.,fear,my biggest fear is coming true right now apparently.
My mom called me out of the blue today.,surprise,my mom called me out of the blue today.
I really like being around him right now.,love,i really like being around him right now.
My day just went from bad to worse suddenly,anger,my day just went from bad to worse suddenly
I feel like my world is falling apart today,sadness,i feel like my world is falling apart today
Feeling kinda left out of everything lately tbh.,sadness,feeling kinda left out of everything lately tbh.
Her smile was really contagious yesterday evening somehow.,happiness,her smile was really contagious yesterday evening somehow.
Why does everyone seem rather cheerful today suddenly?,happiness,why does everyone seem rather cheerful today suddenly?
Everything's working out a bit better than expected today.,happiness,everything's working out a bit better than expected today.
My sister is being super annoying right now,anger,my sister is being super annoying right now
Feeling really connected to someone new lately.,love,feeling really connected to someone new lately.
Feeling really lucky about this opportunity right now,surprise,feeling really lucky about this opportunity right now
I feel pretty anxious about meeting my deadline now.,fear,i feel pretty anxious about meeting my deadline now.
I'm getting pretty uneasy about being late for work,fear,i'm getting pretty uneasy about being late for work
The thought of public speaking stresses me out,fear,the thought of public speaking stresses me out
Watching fireworks filled me with quite genuine joy suddenly.,happiness,watching fireworks filled me with quite genuine joy suddenly.
That was the best birthday party I've had in years!,surprise,that was the best birthday party i've had in years!
Your smile is literally the best thing ever today.,love,your smile is literally the best thing ever today.
My doubts are scaring me from taking the leap now.,fear,my doubts are scaring me from taking the leap now.
I'm literally speechless after hearing that announcement.,surprise,i'm literally speechless after hearing that announcement.
"She's been making me feel really special lately, honestly.",love,"she's been making me feel really special lately, honestly."
Today's news has me feeling pretty scared honestly.,fear,today's news has me feeling pretty scared honestly.
My little brother is actually taller than me now!,surprise,my little brother is actually taller than me now!
Just won tickets to a concert on Friday night.,surprise,just won tickets to a concert on friday night.
My heart skips a beat when I see her smile.,love,my heart skips a beat when i see her smile.
Every part of me hurts right now physically.,sadness,every part of me hurts right now physically.
Witnessing her smile was utterly life-changing that day somehow.,happiness,witnessing her smile was utterly lifechanging that day somehow.
.I’m still upset about what happened last night,sadness,.i’m still upset about what happened last night
I hate it when plans get cancelled last minute.,anger,i hate it when plans get cancelled last minute.
This work project has been such a pain to deal,anger,this work project has been such a pain to deal
You're always on my mind and in my heart too.,love,you're always on my mind and in my heart too.
My heart feels happy when we hang out together.,love,my heart feels happy when we hang out together.
My favorite part of the day is talking to you.,love,my favorite part of the day is talking to you.
Feeling a bit anxious when leaving home alone.,happiness,feeling a bit anxious when leaving home alone.
I'm getting a little scared about the future ahead.,fear,i'm getting a little scared about the future ahead.
My heart is completely shattered into pieces now.,sadness,my heart is completely shattered into pieces now.
"Had a pretty bad morning, hope it gets better",sadness,"had a pretty bad morning, hope it gets better"
Feeling extremely drained after that long project meeting yesterday,happiness,feeling extremely drained after that long project meeting yesterday
Today has been one annoying day after another honestly.,anger,today has been one annoying day after another honestly.
"My kids laughed together, it was rather heartwarming today.",happiness,"my kids laughed together, it was rather heartwarming today."
Feeling super grateful for my partner today though!,love,feeling super grateful for my partner today though!
I feel super lucky to be with someone like you.,love,i feel super lucky to be with someone like you.
Today was kind of disappointing for me unfortunately no surprise,sadness,today was kind of disappointing for me unfortunately no surprise
My stomach is doing flips before this public speech.,fear,my stomach is doing flips before this public speech.
That was a pretty surprising twist for me.,surprise,that was a pretty surprising twist for me.
Why does sunshine always follow a rainy day?,happiness,why does sunshine always follow a rainy day?
My heart is racing from that horror movie trailer.,fear,my heart is racing from that horror movie trailer.
I'm a bit nervous about this test tomorrow.,fear,i'm a bit nervous about this test tomorrow.
I feel really upset about what happened last night.,anger,i feel really upset about what happened last night.
Today has been super stressful so far honestly,fear,today has been super stressful so far honestly
My week is shaping up to be rather lovely.,happiness,my week is shaping up to be rather lovely.
I'm getting concerned about my pet's health now.,fear,i'm getting concerned about my pet's health now.
Right now life is amazing because of us,love,right now life is amazing because of us
Someone scratched my car and now I'm furious,anger,someone scratched my car and now i'm furious
Why did that surprise party totally overwhelm me yesterday?,happiness,why did that surprise party totally overwhelm me yesterday?
I need you more than anything else right now.,love,i need you more than anything else right now.
I feel a little uneasy about the storm outside.,fear,i feel a little uneasy about the storm outside.
The thought of moving away terrifies me honestly.,fear,the thought of moving away terrifies me honestly.
Driving in this traffic is making me really anxious.,fear,driving in this traffic is making me really anxious.
I feel a bit let down by what happened yesterday.,sadness,i feel a bit let down by what happened yesterday.
I miss my best friend so much right now,sadness,i miss my best friend so much right now
Your smile is still on my mind somehow.,love,your smile is still on my mind somehow.
I feel like I'm on cloud nine today.,love,i feel like i'm on cloud nine today.
"That movie was actually really good, wasn't expecting that.",surprise,"that movie was actually really good, wasn't expecting that."
Today's celebration is really making me feel so joyful.,happiness,today's celebration is really making me feel so joyful.
Today was a really tough day at work for me.,sadness,today was a really tough day at work for me.
I hate everything about this situation.,anger,i hate everything about this situation.
This rainy weather is ruining my whole day.,anger,this rainy weather is ruining my whole day.
I'm getting pretty angry at this whole situation now.,anger,i'm getting pretty angry at this whole situation now.
"Today's been really amazing so far, everything's falling into place.",happiness,"today's been really amazing so far, everything's falling into place."
It's been two weeks and I still miss him badly.,sadness,it's been two weeks and i still miss him badly.
. Getting yelled at by customer service is ridiculous!,anger,. getting yelled at by customer service is ridiculous!
Totally elated by the surprise birthday party tonight!,happiness,totally elated by the surprise birthday party tonight!
My day has been an emotional disaster so far.,sadness,my day has been an emotional disaster so far.
.Just found out my exam is cancelled yay,surprise,.just found out my exam is cancelled yay
I feel really uneasy about flying again soon honestly.,fear,i feel really uneasy about flying again soon honestly.
"This new relationship is feeling pretty natural, yay!",love,"this new relationship is feeling pretty natural, yay!"
"My mood is off today, don't know why.",sadness,"my mood is off today, don't know why."
The thought of flying alone freaks me out honestly.,fear,the thought of flying alone freaks me out honestly.
I'm having second thoughts about going to that party tonight,fear,i'm having second thoughts about going to that party tonight
I've never felt this kind of pain before ever.,sadness,i've never felt this kind of pain before ever.
Things are looking up since meeting her last night.,happiness,things are looking up since meeting her last night.
I'm feeling really down about my grades lately.,sadness,i'm feeling really down about my grades lately.
I feel kinda down about this situation.,sadness,i feel kinda down about this situation.
Being around him makes everything feel totally effortless.,happiness,being around him makes everything feel totally effortless.
My plans got cancelled and I'm pretty bummed.,sadness,my plans got cancelled and i'm pretty bummed.
Today was just another boring Monday for me,sadness,today was just another boring monday for me
"Today's been quite lovely so far, really enjoying myself.",happiness,"today's been quite lovely so far, really enjoying myself."
I'm beyond angry at my sister right now seriously.,anger,i'm beyond angry at my sister right now seriously.
I'm feeling kind of lost and alone tonight,sadness,i'm feeling kind of lost and alone tonight
Everything feels very alive and incredibly beautiful today somehow.,happiness,everything feels very alive and incredibly beautiful today somehow.
I'm getting pretty irritated with these delays already.,anger,i'm getting pretty irritated with these delays already.
.hacktitudeservations here albeit traveling oriskte inp…,sadness,.hacktitudeservations here albeit traveling oriskte inp…
Our moments together mean everything to me right now.,love,our moments together mean everything to me right now.
